PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,On1.started,text.started,On1.stopped,On2.started,text_2.started,On2.stopped,On3.started,text_3.started,On3.stopped,On4.started,text_4.started,On4.stopped,On5.started,text_5.started,On5.stopped,On6.started,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,,,,,,,,,0,0,0,0,,,,,,,,,,,,,115.42968790000123,,,,,,,,,,,,,,,115.41439859999991,115.42968790000123,116.39889930000027,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,,,,,,,,,0,1,1,1,,,,,,,,,,,,,116.42866330000106,,,,,,,,,,,,,,,116.39915939999992,116.42866330000106,117.3986447999996,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,,,,,,,,,0,2,2,2,,,,,,,,,,,,,117.42870109999967,,,,,,,,,,,,,,,117.39890820000073,117.42870109999967,118.39713850000044,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,,,,,,,,,0,3,3,3,,,,,,,,,,,,,118.42714920000071,,,,,,,,,,,,,,,118.39751009999964,118.42714920000071,119.38003720000052,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,,,,,,,,,0,4,4,4,,,,,,,,,,,,,119.4099796999999,,,,,,,,,,,,,,,119.3803540000008,119.4099796999999,120.37996730000123,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,,,,,,,,,0,5,5,5,,,,,,,,,,,,,120.4089655000007,,,,,,,,,,,,,,,120.38029110000025,120.4089655000007,121.39482570000109,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,,,,,,,,,0,6,6,6,,,,,,,,,,,,,121.42433379999966,,,,,,,,,,,,,,,121.39517420000084,121.42433379999966,122.39445429999978,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,,,,,,,,,0,7,7,7,,,,,,,,,,,,,122.42347370000061,,,,,,,,,,,,,,,122.39471290000074,122.42347370000061,123.37810170000012,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,,,,,,,,,0,8,8,8,,,,,,,,,,,,,123.40619850000076,,,,,,,,,,,,,,,123.37846759999957,123.40619850000076,124.3762110000007,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,,,,,,,,,0,9,9,9,,,,,,,,,,,,,124.40559539999958,,,,,,,,,,,,,,,124.37652450000132,124.40559539999958,125.37630710000121,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,21,white,,,,,,,,,0,10,10,10,,,,,,,,,,,,,125.40442340000118,,,,,,,,,,,,,,,125.37666569999965,125.40442340000118,126.39067280000017,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,23,blue,,,,,,,,,0,11,11,11,,,,,,,,,,,,,126.42037210000126,,,,,,,,,,,,,,,126.39097480000055,126.42037210000126,127.37316230000033,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,25,yellow,,,,,,,,,0,12,12,12,,,,,,,,,,,,,127.40296810000109,,,,,,,,,,,,,,,127.37344320000011,127.40296810000109,128.38929720000124,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
