PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,FInalizacion.started,FinPrueba.started,FInalizacion.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,25,yellow,0,2,2,2,0,12,12,12,10.442815399999745,,,,,,,,,,,,,,,10.416295600000012,10.442815399999745,10.515648099999453,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,27,orange,0,2,2,2,0,13,13,13,10.542852599999605,,,,,,,,,,,,,,,10.515951699999277,10.542852599999605,10.615805100000216,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,29,brown,0,2,2,2,0,14,14,14,10.64262090000011,,,,,,,,,,,,,,,10.616109299999152,10.64262090000011,10.715446899999733,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,31,purple,0,2,2,2,0,15,15,15,10.7426446999998,,,,,,,,,,,,,,,10.71572550000019,10.7426446999998,10.815633999998681,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,33,green,0,2,2,2,0,16,16,16,10.842294299998684,,,,,,,,,,,,,,,10.815992599998935,10.842294299998684,10.915859299999283,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,35,red,0,2,2,2,0,17,17,17,10.942482899999959,,,,,,,,,,,,,,,10.916153799998938,10.942482899999959,11.015539500000159,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,37,white,0,2,2,2,0,18,18,18,11.042242600000463,,,,,,,,,,,,,,,11.015812199999345,11.042242600000463,11.115905399999974,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,39,blue,0,2,2,2,0,19,19,19,11.142141599999377,,,,,,,,,,,,,,,11.116215899999588,11.142141599999377,11.21541359999901,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,3,3,3,0,0,0,0,12.241652200000317,,,,,,,,,,,,11.215837899999315,11.24069529999906,12.214771699998892,12.224799199999325,12.241652200000317,12.315155500000401,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
